Timestamp,How would you describe your current feelings about Artificial Intelligence (AI)?,How would you best describe your familiarity with AI tools and their applications in marketing & communications?,"How often do you currently use AI tools (e.g., ChatGPT, Grammarly, Microsoft Copilot) in your work? Choose the option that most closely reflects your usage.",What do you think are the biggest barriers to using AI effectively in your role? (Select up to 2 options),How important is AI to the success of your individual or team work over the next 12 months?,How confident are you today in your ability to use AI tools effectively in your role?,"How do you see AI tools changing the way you work in the future? If you already use AI, what specific tasks or processes do you currently use it for?",Column 8
1/31/2025 12:15:07,Positive,I am highly knowledgeable and use AI regularly.,Daily,"None; I feel there are no barriers, The department should cover the cost of these tools so that we don’t have to pay for them ourselves",5,Very Confident,"AI tools are already playing a big role in how I work, and I expect that role to keep growing. Right now, I use AI for:
Project & Task Management 
Communication & Messaging 
Process Optimization & Workflow Automation 
Troubleshooting & Problem Solving 
SEO & Content Strategy ",
1/31/2025 12:28:56,I’m not sure how I feel about it,I understand AI tools well and have experimented with them,At least once per week,"Concerns about accuracy or reliability, Fear of making mistakes with AI",4,Very Confident,"Content generation, especially when optimized for SEO and in different languages",
1/31/2025 13:02:44,Positive,I am highly knowledgeable and use AI regularly.,Never,None; I feel there are no barriers,3,Somewhat confident,"Although I am familiar with AI since I use it for school (it was actually required by one of my professors), I do not use AI for my work-related tasks. I think it is a way that we can work smarter & not harder, but still keeping in mind our knowledge and experience to make the best decisions in our day-to-day work.",
1/31/2025 13:29:13,Positive,I am highly knowledgeable and use AI regularly.,Daily,None; I feel there are no barriers,5,Very Confident,,
1/31/2025 14:21:39,I have both positive and negative feelings about AI,I know a bit about them but haven’t used them,Rarely (Less than once per month),"Limited access to AI tools, I was not aware that I was allowed to use AI",4,Not confident at all,I see this as a tool we can use to improve our jobs. From writing to brainstorming ideas.  ,
1/31/2025 14:56:47,Positive,,Daily,Lack of understanding or training,4,Somewhat confident,,
1/31/2025 17:01:31,Positive,I understand AI tools well and have experimented with them,Daily,lack of training on tools outside of chatgpt,3,Somewhat confident,"I'm interested in seeing how I can use it more in the more tedious part of my job like auditing and managing the listings. But, I already use AI with ChatGPT pretty often throughout the week. I use it to draft emails and messages as well as organize myself and prioritize my tasks. ",
1/31/2025 17:30:14,Positive,I understand AI tools well and have experimented with them,Daily,"Limited access to AI tools, I was not aware that I was allowed to use AI",4,Somewhat confident,Will make job more efficient to take care of easy tasks that are monotonous so I can be focused on more pressing items. ,
1/31/2025 17:30:37,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per month,Concerns about accuracy or reliability,4,Confident,Brainstorming headlines; starting a draft; creating simple charts ,
2/2/2025 11:57:46,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,Daily,"Limited access to AI tools, Concerns about accuracy or reliability",4,Very Confident,,
2/2/2025 19:21:07,I have both positive and negative feelings about AI,I know a bit about them but haven’t used them,Daily,None; I feel there are no barriers,4,Somewhat confident,,
2/3/2025 9:46:14,Positive,I’ve heard of them but don’t know much.,Rarely (Less than once per month),Lack of understanding or training,5,Not confident at all,I sometimes use AI to draft responses to some of the incoming messages/comments/reviews that are received through our platform Sprout Social. ,
2/3/2025 10:11:40,I have both positive and negative feelings about AI,I know a bit about them but haven’t used them,Daily,Limited access to AI tools,5,Somewhat confident,I use Chat GPT Pro to analyze data (sent to me from operations) & to draft important emails/draft quotes/write talking points & translate things to spanish. ,
2/3/2025 10:55:20,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,Daily,"Limited access to AI tools, Concerns about accuracy or reliability, I use AI regularly primarily for personal use as I am afraid of breaking company policy on privacy and sharing data.",4,Very Confident,"AI can be used for note taking during calls, summarizing, and highlighting action items post calls. Additionally, it has great potential for improving processes as it can digest multi-modal data and translate it to an itemized action plan. It can automate manual tasks that take away time from more important work where the employee's skills are better utilized.",
2/3/2025 11:34:05,I have both positive and negative feelings about AI,I am highly knowledgeable and use AI regularly.,Daily,"Concerns about accuracy or reliability, I was not aware that I was allowed to use AI",3,Confident,,
2/3/2025 11:42:14,I have both positive and negative feelings about AI,I know a bit about them but haven’t used them,Rarely (Less than once per month),"Lack of understanding or training, Concerns about accuracy or reliability, I am afraid that it will negatively affect my job",3,Not confident at all,It will simplify the task and minimize the process time.,
2/3/2025 12:34:17,Positive,I understand AI tools well and have experimented with them,At least once per week,None; I feel there are no barriers,3,Confident,"Helps me learn and expand my knowledge, draft different copy options, think of new ideas/brainstorm",
2/3/2025 12:39:29,I have both positive and negative feelings about AI,I know a bit about them but haven’t used them,Rarely (Less than once per month),Lack of understanding or training,5,Somewhat confident,I hope it will relieve me of various tasks and allow me to focus on doing what I do best.,
2/3/2025 16:54:21,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,Daily,"Lack of understanding or training, Limited access to AI tools",4,Somewhat confident,Wordsmithing,
2/3/2025 17:37:42,Positive,I know a bit about them but haven’t used them,At least once per week,"Lack of understanding or training, Limited access to AI tools",5,Not confident at all,,
2/3/2025 17:39:22,I have both positive and negative feelings about AI,I know a bit about them but haven’t used them,At least once per week,"Lack of understanding or training, Limited access to AI tools",4,Not confident at all,see it as useful for image manipulation and customization,
2/3/2025 17:41:53,Positive,I am highly knowledgeable and use AI regularly.,Daily,"Limited access to AI tools, Concerns about accuracy or reliability",5,Very Confident,"draft copy, interview questions, SEO checks, video ideation, some graphic editing, more",
2/3/2025 17:42:42,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per month,Concerns about accuracy or reliability,2,Confident,,
2/3/2025 17:43:57,I have both positive and negative feelings about AI,I know a bit about them but haven’t used them,At least once per week,"Lack of understanding or training, Limited access to AI tools",3,Somewhat confident,yes,
2/3/2025 17:47:21,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per week,"Limited access to AI tools, Concerns about accuracy or reliability",3,Somewhat confident,"AI helps facilitate basic research on certain health topics for content platforms, but requires considerable editing -- and sometimes independent research. ",
2/3/2025 17:47:50,Positive,I understand AI tools well and have experimented with them,At least once per week,Limited access to AI tools,5,Confident,,
2/3/2025 17:50:55,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per week,"I am not ready to make that kind of change to my workflow, I am afraid that it will negatively affect my job",2,Confident,,
2/3/2025 18:22:28,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,Daily,"Lack of understanding or training, Concerns about accuracy or reliability",3,Somewhat confident,"I use AI tools to assist with writing catchy headlines, sub-headings, captions, descriptions, etc. AI has been very helpful as a starting point for me when it comes to executive writing- I practically never copy and paste what is given to me, but if I get stuck, it gives me a place to start. We have a very specific writing style and AI will never pick that up! (as in it is not programmed to yet ;))",
2/3/2025 18:56:43,Positive,I am highly knowledgeable and use AI regularly.,At least once per week,"Lack of understanding or training, Concerns about accuracy or reliability",2,Very Confident,"Overall, I often use AI to help me understand certain concepts in the medical field a bit better. I know some team members also use the platform to better craft certain communications or find other words to work into certain messages. Nothing will ever compare to the human mind, but I do think artificial intelligence is helpful in finding connection points.",
2/3/2025 19:35:19,I have both positive and negative feelings about AI,I know a bit about them but haven’t used them,Never,I don’t see AI as relevant to my work,1,Not confident at all,,
2/3/2025 19:35:46,Positive,I understand AI tools well and have experimented with them,Rarely (Less than once per month),None; I feel there are no barriers,3,Somewhat confident,,
2/3/2025 19:45:56,Positive,I understand AI tools well and have experimented with them,At least once per week,Limited access to AI tools,5,Confident,Increasing efficiency ,
2/3/2025 20:15:50,I have both positive and negative feelings about AI,I’ve heard of them but don’t know much.,Never,"Lack of understanding or training, Concerns about accuracy or reliability",2,Not confident at all,,
2/4/2025 8:25:54,I have both positive and negative feelings about AI,I know a bit about them but haven’t used them,Daily,Lack of understanding or training,3,Somewhat confident,,
2/4/2025 8:28:17,Positive,I understand AI tools well and have experimented with them,Daily,Limited access to AI tools,3,Confident,"AI is here to stay and it's very useful for many tasks due to the possibility of increasing efficiency by simplifying processes and reducing the need for human input. By freeing up our time we are able to focus our attention and apply our knowledge to other tasks. In my day to day at work, AI has been a great tool to use when it comes to creative copywriting.",
2/4/2025 8:50:58,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,Daily,None; I feel there are no barriers,5,Confident,"Having to write often in this role, and oftentimes come up with quick professional and engaging captions and short blurbs for posts, it is a necessary tool that I use for polishing and proofreading my writing. I would say I am a decent writer, but not to level of others in our department so I have seen AI as a very valuable tool to help me meet a somewhat weakness that I have in my role. It has helped me be extremely resourceful on my own and given me confidence to know that I am capable of writing to the level of my colleagues with the help of AI.",
2/4/2025 8:53:18,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per week,"Lack of understanding or training, Unsure of the best way to integrate AI into my workflow",3,Somewhat confident,"I use it for copywriting, streamlining internal communications (emails, etc.)",
2/4/2025 9:03:41,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,Rarely (Less than once per month),"Lack of understanding or training, Concerns about accuracy or reliability",2,Somewhat confident,,
2/4/2025 9:04:33,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per month,Concerns about accuracy or reliability,4,Confident,I use AI mostly for copywriting purposes.,
2/4/2025 9:10:25,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,Daily,"Lack of understanding or training, I don’t see AI as relevant to my work",3,Somewhat confident,,
2/4/2025 9:10:39,I have both positive and negative feelings about AI,I know a bit about them but haven’t used them,Never,"Lack of understanding or training, Concerns about accuracy or reliability, Fear of making mistakes with AI, I am not ready to make that kind of change to my workflow, I was not aware that I was allowed to use AI, I am afraid that it will negatively affect my job",1,Not confident at all,,
2/4/2025 9:14:12,I have both positive and negative feelings about AI,I know a bit about them but haven’t used them,Rarely (Less than once per month),None; I feel there are no barriers,3,Confident,I feel it can expedite my work,
2/4/2025 9:17:36,Positive,I understand AI tools well and have experimented with them,At least once per week,None; I feel there are no barriers,4,Confident,It helps with crafting leadership emails.,
2/4/2025 9:23:31,I have both positive and negative feelings about AI,I know a bit about them but haven’t used them,At least once per week,"Concerns about accuracy or reliability, I am not ready to make that kind of change to my workflow",5,Somewhat confident,Information and image searches,
2/4/2025 9:23:43,Positive,I am highly knowledgeable and use AI regularly.,Daily,None; I feel there are no barriers,3,Very Confident,"I see us using AI tools more and more for writing, for observation and measurement of our communications efforts, and for updating strategies based on those observations and measurements. I use AI for research on countless topics throughout the day, including looking at what other health systems are doing on ",
2/4/2025 9:25:42,Positive,I understand AI tools well and have experimented with them,At least once per week,"Limited access to AI tools, Concerns about accuracy or reliability",4,Confident,"tool for streamlining processes, summarizing thoughts and jump starting your writing",
2/4/2025 9:55:10,Positive,I am highly knowledgeable and use AI regularly.,Daily,Limited access to AI tools,5,Very Confident,,
2/4/2025 10:08:05,I have both positive and negative feelings about AI,I am highly knowledgeable and use AI regularly.,Daily,Limited access to AI tools,5,Confident,I use AI to help review copy and help summarize lengthy copy. AI helps me save time by letting me get a head start in the creative process. ,
2/4/2025 10:08:41,Positive,I understand AI tools well and have experimented with them,Daily,Fear of making mistakes with AI,4,Very Confident,"I see AI helping with efficiency and expanding the amount of tasks we can handle. Eventually, it should be able to handle its own tasks. I currently use it for Brainstorming, Research, Limited Data Analysis, Copywriting, etc.",
2/4/2025 10:15:22,Positive,I understand AI tools well and have experimented with them,Daily,"Limited access to AI tools, Concerns about accuracy or reliability",3,Confident,,
2/4/2025 10:43:16,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,Daily,"Lack of understanding or training, Limited access to AI tools",5,Confident,,
2/4/2025 11:02:43,Positive,I understand AI tools well and have experimented with them,At least once per week,"Concerns about accuracy or reliability, Fear of making mistakes with AI",5,Very Confident,"I use AI (ChatGPT) when updating email copy sometimes to update grammatically and/or to sound more professional. Additionally, I use it to gather diagnosis and procedure codes when creating audiences for our emails. On that note, we also use it as copy guide when drafting email journey content. I use it more as a guide and not as a be all, end all. ",
2/4/2025 11:04:03,Positive,I understand AI tools well and have experimented with them,Daily,"Lack of understanding or training, Limited access to AI tools",4,Confident,I use it to help draft communications and brain storm.,
2/4/2025 15:16:37,Positive,I understand AI tools well and have experimented with them,At least once per week,I use it as a resource so currently haven't encountered any barriers,2,Somewhat confident,I usually use it to help me build presentations or emails to physicians explaining marketing efforts.,
2/4/2025 18:45:34,Positive,I understand AI tools well and have experimented with them,Daily,"Lack of understanding or training, Limited access to AI tools",5,Confident,I will use it to polish something I wrote or to shorten something I wrote. It helps me with speed and efficiency.,
2/5/2025 8:57:27,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per week,"Limited access to AI tools, Concerns about accuracy or reliability",5,Very Confident,"Its a tool, like any other. I use it often enough in resolving design challenges with a good deal of success. However, AI is not a silver bullet. I does not solve all design challenges.",
2/5/2025 9:38:44,Positive,I understand AI tools well and have experimented with them,Daily,"Lack of understanding or training, Concerns about accuracy or reliability",4,Somewhat confident,,
2/5/2025 15:04:25,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,Daily,"Concerns about accuracy or reliability, Fear of making mistakes with AI",5,Somewhat confident,,
2/5/2025 15:18:19,Positive,I understand AI tools well and have experimented with them,Daily,"Lack of understanding or training, Limited access to AI tools",5,Confident,,
2/5/2025 15:18:37,Positive,I am highly knowledgeable and use AI regularly.,Daily,"None; I feel there are no barriers, I would like a solution for more advanced use. ",4,Very Confident,"Content creation, talking points, emails, meeting summaries, executive summaries, focus group summaries",
2/6/2025 9:43:09,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per week,"Lack of understanding or training, Concerns about accuracy or reliability",3,Somewhat confident,"I like to use AI to help me get started on working on something (whether professionally or personally). Ex: Planning kid bday party and ask Chat GPT to organize how to get started with the planning and help me create a checklist. Then, I read it over, remove what I don't like, add what I want, etc. It just really helps me get started with a task/assignment. I can see AI tools really helping our team in the future. There is so much to learn!!!!!",
2/6/2025 10:01:02,Positive,I understand AI tools well and have experimented with them,At least once per week,"Concerns about accuracy or reliability, I was not aware that I was allowed to use AI",3,Confident,,
2/6/2025 12:20:46,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per week,Concerns about accuracy or reliability,3,Somewhat confident,Research for scripts,
2/6/2025 14:47:51,Positive,I understand AI tools well and have experimented with them,Daily,"Lack of understanding or training, Limited access to AI tools, I was not aware that I was allowed to use AI",4,Somewhat confident,,
2/6/2025 16:05:05,Positive,I am highly knowledgeable and use AI regularly.,Daily,None; I feel there are no barriers,5,Very Confident,"It help me review emails for tone, clarity and grammar. It helps me organize my thoughts and meeting notes. It helps me come up with ideas for social media copy. It helps develop content for quick PAC articles. It helps me come up with team building ideas for my team. It helps me verify my marketing and communication plans. It helps me quickly understand very complex information and simplifies it. ",
2/6/2025 16:22:31,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per week,"Lack of understanding or training, Limited access to AI tools",5,Somewhat confident,"AI will assist in the project management aspects as well as the content creation aspects cutting considerable time from the mundane efforts and allowing quality time with the necessary, creative efforts.",
2/6/2025 17:34:41,I’m not sure how I feel about it,I know a bit about them but haven’t used them,At least once per week,,2,Somewhat confident,,
2/7/2025 9:02:52,I have both positive and negative feelings about AI,I understand AI tools well and have experimented with them,At least once per week,None; I feel there are no barriers,3,Somewhat confident,"AI could help me streamline content creation by generating first drafts of articles or even suggesting design improvements based on best practices. Right now, AI helps me by refining written content, suggesting improvements for clarity and professionalism, and helping with brainstorming ideas for articles and communications.",
2/7/2025 10:20:21,Positive,I am highly knowledgeable and use AI regularly.,Daily,None; I feel there are no barriers,5,Very Confident,"I see AI as a way to increase my productivity and open up my time to focus on more strategic, higher thinking efforts. It can help me be more effective and efficient with the time I have by using it to assist in tasks, prep for meetings, brainstorm, research, help problem solve, summarize in depth technical articles that would take me a significant time to internalize, and eventually, especially with the adoption of agentive AI, almost have my own assistant so I can spend less time on more mindless tasks. ",
2/7/2025 10:33:56,Positive,I understand AI tools well and have experimented with them,At least once per week,None; I feel there are no barriers,5,Very Confident,"I think AI is pivotal to the work we do and an effective tool to streamline a lot of what we do fron helping us predict customer/patient behaviors, to creating and building content and  designs, to providing instant customer/patient support.  Today I use it to create content, respond to emails, dumb down technical requirements to make them more user friendly, etc. ",
2/7/2025 10:46:16,I’m not sure how I feel about it,I know a bit about them but haven’t used them,Rarely (Less than once per month),"Limited access to AI tools, Concerns about accuracy or reliability",3,Somewhat confident,,
2/7/2025 11:00:22,Positive,I’ve heard of them but don’t know much.,At least once per week,"None; I feel there are no barriers, I feel there may not be barriers and would there be errors? As long as we learn, train on the many tools out there available to our team. I don't see it as a negative. I'm not an expert yet. But willing to learn and improve.",5,Very Confident,"Work wise, for an EA, AI tools can help calendar scheduling, better writing of emails. Prioritize and organize,  etc.  I have used Microsoft Pilot here in the office.  AI can save time and even allow to be involved in other projects with the team and learn other areas.  On a personal level, I have an Alexa at home. I have used Grammarly on personal level with the kids. ",
2/7/2025 11:04:52,Positive,I know a bit about them but haven’t used them,Never,Lack of understanding or training,3,Somewhat confident,"I do not currently have a need for AI in building emails.  There may be an opportunity to use it to produce html code in salesforce, however because we now use Stensul, that is not necessary.  Currently the service lines provide the content/copy, but if that changes and I begin producing the copy then AI will be useful.  AI is also being added to Stensul, so that will help with alt text, etc going forward.",
2/7/2025 15:49:35,I have both positive and negative feelings about AI,I am highly knowledgeable and use AI regularly.,At least once per week,"Limited access to AI tools, Concerns about accuracy or reliability",3,Very Confident,"I use generative AI for photography, ChatGPT for organization strategies, and can see using AI to create photos from scratch",
2/7/2025 16:15:36,Positive,I understand AI tools well and have experimented with them,At least once per week,None; I feel there are no barriers,4,Very Confident,"Chat GPT, Microsoft copilot",
2/10/2025 11:39:22,Positive,I know a bit about them but haven’t used them,Rarely (Less than once per month),Lack of understanding or training,1,Somewhat confident,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,0.250,,,,,
