Timestamp,How would you describe your current feelings about Artificial Intelligence (AI)?,Which stage best describes your current progress on the AI journey?,How would you best describe your familiarity with AI tools and their applications in marketing & communications?,"How often do you currently use AI tools (e.g., ChatGPT, Grammarly, Microsoft Copilot) in your work? Choose the option that most closely reflects your usage.",Which AI tools do you currently use in your work? (Select all that apply),What do you think are the biggest barriers to using AI effectively in your role? (Select up to 2 options),How important is AI to the success of your individual or team work over the next 12 months?,How confident are you today in your ability to use AI tools effectively in your role?,"How do you see AI tools changing the way you work in the future? If you already use AI, what specific tasks or processes do you currently use it for?"
9/4/2025 10:44:04,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Descript",None; I feel there are no barriers,5,Confident,Making workflows faster and more efficient.
9/4/2025 10:44:38,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Gemini (Google), Jasper, Perplexity AI","I am using Ai more and for more complex projects, as I embark on these projects I realize it requires time to experiment and continue to learn. trainings are very helpful but for me, I need to do it to learn.",5,Somewhat confident,"emails, handling difficult situations, analyzing data and developing insights, PPTs. etc."
9/4/2025 10:44:39,Positive,Understanding – I’m learning the fundamentals of AI and starting to see its relevance to my work.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Grammarly",None; I feel there are no barriers,3,Somewhat confident,AI will assist in time management by saving time with particular tasks. I find it particularly helpful when proofing documents.
9/4/2025 10:46:07,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Gamma",Time to really focus and explore,4,Confident,"I already see it. It helps me create content, scan through transcripts, create post captions, come up with content ideas, and more."
9/4/2025 10:54:04,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,At least once per week,"ChatGPT (OpenAI), Jasper",None; I feel there are no barriers,3,Somewhat confident,
9/4/2025 10:54:40,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Jasper, Perplexity AI",None; I feel there are no barriers,5,Very Confident,"Communications plans, how to strike a happy medium, approach when dealing with a difficult client, scalability, etc."
9/4/2025 10:57:44,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Copilot (Microsoft), Jasper, Perplexity AI",None; I feel there are no barriers,5,Confident,
9/4/2025 10:58:14,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,At least once per week,"ChatGPT (OpenAI), Grammarly, Grok (xAI)","Concerns about accuracy or reliability, Fear of making mistakes with AI",4,Confident,
9/4/2025 10:58:56,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"Adobe Firefly, ChatGPT (OpenAI), Descript, Gemini (Google), Jasper",None; I feel there are no barriers,5,Very Confident,I see AI as transformative - starting every project off with a consultation first and then applying AI regularly or even solely throughout the project lifecycle.
9/4/2025 10:59:25,I have both positive and negative feelings about AI,Understanding – I’m learning the fundamentals of AI and starting to see its relevance to my work.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Copilot (Microsoft), Jasper",I am afraid that it will negatively affect my job,4,Somewhat confident,"Research, polish, proofreading, getting suggestions to improve process, etc"
9/4/2025 11:00:28,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Grammarly",None; I feel there are no barriers,5,Confident,
9/4/2025 11:02:14,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,ChatGPT (OpenAI),Concerns about accuracy or reliability,4,Confident,"Revising emails for clarity and professionalism, drafting interview questions, drafting collateral outlines, repurposing content via tone changes (ex: physician to consumer audience), website content creation (soon)"
9/4/2025 11:02:32,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Copilot (Microsoft)",None; I feel there are no barriers,5,Confident,I use it as a thought provoker when I need to write a newsletter or social media posts. I also use it to improve some email responses or as an editor to more clearly explain what I've written.
9/4/2025 11:18:10,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I am highly knowledgeable and use AI regularly.,Daily,ChatGPT (OpenAI),"Limited access to AI tools, Fear of making mistakes with AI",4,Very Confident,
9/4/2025 11:32:25,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Gemini (Google)",None; I feel there are no barriers,4,Confident,
9/4/2025 11:34:33,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I’ve heard of them but don’t know much.,Daily,"Adobe Firefly, ChatGPT (OpenAI), Gemini (Google), Grammarly","Lack of understanding or training, Concerns about accuracy or reliability, Fear of making mistakes with AI",4,Somewhat confident,The design team frequently relies on Adobe Firefly to create images that are not available on stock websites.
9/4/2025 11:38:44,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Gamma, Gemini (Google), Grok (xAI)",None; I feel there are no barriers,5,Very Confident,
9/4/2025 11:54:23,I have both positive and negative feelings about AI,Understanding – I’m learning the fundamentals of AI and starting to see its relevance to my work.,I understand AI tools well and have experimented with them,Daily,ChatGPT (OpenAI),Not enough time to learn the tools. ,3,Confident,Positively. 
9/4/2025 11:59:51,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Gemini (Google), Jasper, Perplexity AI","Concerns about accuracy or reliability, Fear of making mistakes with AI",4,Confident,"I use AI for different writing, research and interviewing tasks. I provide ChatGPT or Jasper a specific health topic, and ask it to come up with effective and relevant questions for a SME (subject matter expert). I also have AI write first drafts after I provide extensive information in the prompts, including preliminary data on a health topic and answers to questions from an expert. Jasper and ChatGPT will come up with first drafts, which I then edit thoroughly. Or I may have the AI tool make additions or edits before I make the final edits. I also use AI tools, including Gemini, for deep research on different health topics. Overall, the AI tools save me a considerable amount of time. All content is approved by SMEs, so there are layers of editing/reviewing that prevent any inaccurate information from being published. "
9/4/2025 12:00:19,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Copilot (Microsoft), Gemini (Google), Jasper",None; I feel there are no barriers,4,Confident,"I use AI to proofread, help me write emails, and come up with ideas"
9/4/2025 12:03:26,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,ChatGPT (OpenAI),Concerns about accuracy or reliability,2,Somewhat confident,
9/4/2025 12:08:26,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I am highly knowledgeable and use AI regularly.,Daily,ChatGPT (OpenAI),Concerns about accuracy or reliability,3,Confident,
9/4/2025 12:16:26,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Jasper","Concerns about accuracy or reliability, Fear of making mistakes with AI",5,Confident,"Leveraging AI for initial drafts and outlines for campaigns has been a time saver, and even leveraging tools to take one message for a specific channel and adapt for others has been so helpful. I think it’s important to comb through and “de-AI”, just like we like to “baptize”, for a human touch. "
9/4/2025 12:16:46,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Gemini (Google), Grammarly, Jasper",None; I feel there are no barriers,4,Confident,"Its helping us to streamline processes and work faster to meet deadlines, etc. "
9/4/2025 12:24:46,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Gemini (Google), Jasper",None; I feel there are no barriers,5,Very Confident,"I'm learning new ways to use AI every day and my role as writer/editor is rapidly shifting to AI prompter/editor. I use AI for research; summarizing meeting notes, video transcripts and medical studies; creating and editing images; drafting outlines and first drafts, and style-checking stories. "
9/4/2025 12:26:32,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I am highly knowledgeable and use AI regularly.,Daily,"Adobe Firefly, ChatGPT (OpenAI), Copilot (Microsoft), Gemini (Google), Jasper, Perplexity AI",None; I feel there are no barriers,5,Very Confident,"outlining, writing, analyzing, data summarizing, ideation, SEO, GEO, video production, image creation, troubleshooting technology, the possibilities are endless!"
9/4/2025 12:50:07,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I am highly knowledgeable and use AI regularly.,At least once per week,"Adobe Firefly, ChatGPT (OpenAI)",None; I feel there are no barriers,3,Very Confident,"currently I do a lot of manual tasks that cannot be done with AI at the moment, not sure how that will change int he future."
9/4/2025 13:11:54,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,At least once per week,"ChatGPT (OpenAI), Gemini (Google), Jasper","Concerns about accuracy or reliability, Fear of making mistakes with AI, I am afraid that it will negatively affect my job",3,Confident,
9/4/2025 13:16:33,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Jasper",None; I feel there are no barriers,5,Somewhat confident,"website copy, email drafts, curate ideas & campaign briefs etc, i talk to AI about any issues & problem solve with it. "
9/4/2025 13:17:44,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,ChatGPT (OpenAI),None; I feel there are no barriers,4,Confident,
9/4/2025 13:28:47,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I’m unfamiliar with AI and its applications in this space,Daily,"ChatGPT (OpenAI), Copilot (Microsoft), Gemini (Google), Grammarly","I don’t see AI as relevant to my work, None; I feel there are no barriers",4,Very Confident,
9/4/2025 13:48:41,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Copilot (Microsoft)",None; I feel there are no barriers,5,Confident,
9/4/2025 13:49:32,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,At least once per week,ChatGPT (OpenAI),None; I feel there are no barriers,4,Somewhat confident,"organizing information, first drafts, headline ideas, grammar checks"
9/4/2025 14:01:34,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Gemini (Google), Perplexity AI",Concerns about accuracy or reliability,4,Somewhat confident,
9/4/2025 15:23:20,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"Adobe Firefly, ChatGPT (OpenAI), Gemini (Google), Grammarly","Concerns about accuracy or reliability, The barrier isn’t really my own usage, it’s more about adoption and trust across teams. I usually have to validate outputs and help show the value of AI while working through hesitations from others.",5,Very Confident,"I already use AI daily for content generation, SEO optimization, process automation, and project management support. It helps me streamline workflows, improve efficiency, and create more structured, scalable content. Looking ahead, I see AI becoming even more embedded in how I work, not just as a tool, but as a thought partner that helps with strategy, decision-making, and collaboration across teams."
9/4/2025 16:55:55,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Grammarly, Jasper",Concerns about accuracy or reliability,5,Confident,"I use AI daily to help take meeting notes, draft emails, brainstorm ideas, develop copy for flyers, project management, reporting, etc. It has helped me be 10x more useful and productive during the day."
9/4/2025 16:56:22,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Grammarly","Lack of understanding or training, Concerns about accuracy or reliability",5,Somewhat confident,"I use it for writing a lot, whether editing, proofreading or just giving it the idea and having it write creative captions for me. I need to venture into Jasper soon as I would like to integrate our Baptist Health style guide into my writing automatically to ensure consistency. "
9/5/2025 8:54:39,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"Adobe Firefly, ChatGPT (OpenAI), Gemini (Google), Grammarly, Jasper",None; I feel there are no barriers,5,Very Confident,
9/5/2025 9:00:13,I have both positive and negative feelings about AI,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"Adobe Firefly, ChatGPT (OpenAI)",Concerns about accuracy or reliability,3,Confident,Image creation
9/5/2025 10:23:26,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Jasper",Lack of understanding or training,4,Confident,
9/5/2025 12:09:54,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"Adobe Firefly, ChatGPT (OpenAI), Perplexity AI",Concerns about accuracy or reliability,4,Confident,"I use AI almost daily, but mainly in a supporting role rather than as a primary solution. In my specific role at BH, I don’t believe AI has reached the level of capability we would need, especially within the software currently available to us. My larger concern is that, in the rush to adopt AI, we risk implementing solutions that create more problems than they solve, simply because the technology is not yet mature enough for our needs."
9/5/2025 13:34:15,Positive,Understanding – I’m learning the fundamentals of AI and starting to see its relevance to my work.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Grammarly","Lack of understanding or training, Limited time to get onboarded on these materials. Our day to day work is so consuming certain days that I don't have time to spend learning these platforms.",3,Confident,We plan to transition fully to utilizing Jasper for stories in the coming months.
9/5/2025 13:37:22,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Gamma, Grammarly",Fully understanding how to correctly and effectively create workflows and embed them into our processes.,5,Confident,"I think AI will revolutionize how we write content, develop ideas, brainstorm concepts and efficiently rework content for multiple platforms."
9/5/2025 15:01:32,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Gemini (Google)","Concerns about accuracy or reliability, Fear of making mistakes with AI",4,Confident,I created a GPT that analyzes patient feedback and produces a sentiment snapshot. This snapshot is included in our report distribution emails so our internal stakeholders can easily see high-level strengths and areas for improvement at a glance.
9/5/2025 15:25:32,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Jasper, google AI studio",None; I feel there are no barriers,5,Very Confident,"Here's what I use AI for:
- Polishing my emails
- Reviewing my decks and providing feedback/suggestions
- Providing copy for paid social, print ads, OOH
- Created a custom GPT for our new campaign. Since we completed all the work with the agency, it'll ensure that we are consistent with the campaign messaging
- Creating mockups for presentation purposes
- Brainstorming
- Reviewing paid media reports and breaking them down for us
- Summarizing reputation management reports
- Creating images
- Making sure any edits we make to our website take SEO into consideration
"
9/5/2025 15:33:47,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Jasper",None; I feel there are no barriers,5,Very Confident,"Creating templates, developing processes, ideation - its endless"
9/5/2025 15:56:53,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Copilot (Microsoft), Grok (xAI), Jasper, Perplexity AI",None; I feel there are no barriers,4,Very Confident,"In the future, we hope to centralize bios, boilerplates and approved quotes in Jasper to ensure accuracy and consistency and to automate new physician press release generation.  

Here’s a **consolidated playbook** of how I have been leveraging AI at work already, grouped into clear categories for quick reference:

# 📘 Patty’s Playbook

## 🔍 Research & Knowledge Checks

* Verify **branding and naming conventions** (e.g., FIU Herbert Wertheim College of Medicine).
* Fact-check **organizational processes** and ensure accurate terminology.
* Gather **contextual insights** about projects, procedures and internal updates.

---

## 🗂️ Work Support & Documentation

* **Locate and summarize documents** (trackers, updates, project notes).
* Provide **meeting or conversation summaries** to extract action items.
* Clarify **internal workflows** and step-by-step processes.

---

## ✍️ Writing & Editing

* Draft professional communications (emails, summaries, formal documents).
* Edit for **tone, clarity, and professionalism**.
* Maintain **consistency with institutional style** and formatting.

---

## 📊 Organization & Tracking

* Outline **task lists and processes** for clarity and execution.
* Provide **reminders** for follow-ups and deadlines.
* Build structured **checklists or reference guides** to stay organized.


"
9/8/2025 10:30:27,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Claud (Anthropic), Jasper",Concerns about accuracy or reliability,5,Very Confident,
9/8/2025 10:31:56,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Gemini (Google), Grammarly, Jasper",Concerns about accuracy or reliability,4,Confident,
9/8/2025 11:09:03,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I am highly knowledgeable and use AI regularly.,Daily,"Adobe Firefly, ChatGPT (OpenAI), Claud (Anthropic), Descript, Gamma, Gemini (Google), Grammarly, Jasper",None; I feel there are no barriers,5,Confident,"We are currently using it for email marketing opt-outs, email drafts, brainstorming, automating processes & workflows."
9/8/2025 11:10:32,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Copilot (Microsoft), Gemini (Google), Grammarly, Grok (xAI)",None; I feel there are no barriers,5,Confident,
9/8/2025 11:27:46,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,I understand AI tools well and have experimented with them,Daily,"ChatGPT (OpenAI), Claud (Anthropic), Copilot (Microsoft), Gemini (Google), Grammarly, Jasper, NotebookLM",None; I feel there are no barriers,5,Very Confident,"Data summarizing, macros for spreadsheets and Word documents, proofreading, copywriting, image selections, meeting summaries, document comparisons"
9/8/2025 11:34:27,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,"ChatGPT (OpenAI), Gamma",None; I feel there are no barriers,5,Very Confident,"I see AI as a tool to become more efficient and save myself time on tasks that would normally take a significant amount of time, freeing up time for higher level thinking, more complex tasks, and future planning. I use it for email drafting, content drafting, presentation development, technical assistance in tools such as Salesforce Marketing Cloud and Data Cloud, training, brainstorming, research, etc. "
9/8/2025 12:06:32,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",I am highly knowledgeable and use AI regularly.,Daily,ChatGPT (OpenAI),None; I feel there are no barriers,,Very Confident,"
I already see AI as a true partner in my work. I use it daily to draft and refine content, brainstorm creative ideas, and quickly summarize research or reports. It helps me move faster, stay organized, and focus more on strategy and creativity instead of repetitive tasks. Looking ahead, I expect AI will only deepen that partnership—becoming even more proactive and seamlessly integrated into how I work.  *written with AI to save time. 
"
9/8/2025 13:51:00,I have both positive and negative feelings about AI,Curiosity – I’m beginning to explore AI but haven’t yet developed much literacy or capability.,I understand AI tools well and have experimented with them,At least once per month,"ChatGPT (OpenAI), Gemini (Google)","Lack of understanding or training, Concerns about accuracy or reliability",3,Somewhat confident,
