Timestamp,How would you describe your current feelings about Artificial Intelligence (AI)?,Which stage best describes your current progress on the AI journey?,Which statement best describes the current momentum of AI adoption within Marketing & Communications?,How would you best describe your familiarity with AI tools and their applications in marketing & communications?,How often do you currently use AI tools in your work? Choose the option that most closely reflects your usage.,"When you use AI at work, which benefits are you experiencing most? (Select your top 3)","Besides the AI tools the company officially endorses with a paid subscription (OpenAI ChatGPT, Microsoft Copilot, Adobe Firefly, etc.), what other AI tools do you most often use to assist with your work (whether a free version or one you pay out of your own pocket for)?",Are you currently paying out of your own pocket for any AI tools you use for work?,What do you think are the biggest barriers to using AI effectively in your role? (Select 1-3 options),How important is AI to the success of your individual or team work over the next 12 months?,How confident are you today in your ability to use AI tools effectively in your role?,"What’s your biggest struggle with AI right now, if at all?",What are you most excited about when it comes to AI?,What is your role?,What is your function?
3/18/2026 9:20:49,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.","Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,At least once per week,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Idea generation / creative acceleration - helps me brainstorm and produce more options",NotebookLM,No,"Too many tools/not sure which to use, Hard to break old habits, Fear of making mistakes with AI",5,Confident,Breaking my old habits and getting into the routine of using it,To keep learning and explore the ways it can help my work and even my personal life,Specialist,Account Services
3/18/2026 9:25:21,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I am highly knowledgeable and use AI regularly.,Daily,"Improves quality / polish - makes my drafts and deliverables stronger, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences, More meaningful work - offloads repetitive tasks so I can focus on higher-value work",Claude (Anthropic),No,"None, I feel there are no barriers",4,Very Confident,"Integration with programs such as Outlook, Workfront, etc.",Transforming my workflow,Specialist,Account Services
3/18/2026 9:27:33,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I am highly knowledgeable and use AI regularly.,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Idea generation / creative acceleration - helps me brainstorm and produce more options",None. I only use officially endorsed AI tools for work.,No,"None, I feel there are no barriers",5,Very Confident,N/a,Efficiency and new ideas/strategy ,Specialist,Strategic Communications
3/18/2026 9:31:20,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I am highly knowledgeable and use AI regularly.,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Learning / upskilling - helps me learn faster and build new skills","Gemini (Google), NotebookLM",No,"None, I feel there are no barriers",4,Very Confident,"It's not a struggle, but keeping up with updates among AI tools is challenging. ",The ability to improve the quality of my work.,Specialist,Content Marketing
3/18/2026 9:34:40,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I am highly knowledgeable and use AI regularly.,Daily,"Idea generation / creative acceleration - helps me brainstorm and produce more options, Speed to decision - helps me move faster from questions to decisions, Learning / upskilling - helps me learn faster and build new skills","Gemini (Google), Claude (Anthropic), NotebookLM, Gamma, WISPR Flow",Yes,Concerns about accuracy or reliability,5,Extremely Confident,T&D,The new tools coming out everyday. ,Director,Web & Technology
3/18/2026 9:35:39,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I am highly knowledgeable and use AI regularly.,Daily,"Improves quality / polish - makes my drafts and deliverables stronger, Idea generation / creative acceleration - helps me brainstorm and produce more options, Confidence / reduced anxiety - helps me get unstuck and feel more confident about what I'm producing","Gemini (Google), Claude (Anthropic), Llama (Meta AI), Perplexity AI, NotebookLM, Gamma, Otter.ai, WISPR Flow",Yes,"Limited access to AI tools, Concerns about privacy / PHI / compliance",5,Very Confident,"The unknown of future models and rapidly changing environment, but not really a struggle just an unknown. ","Creating AI employees that can automate some important, but more mundane tasks. ",Director,Account Services
3/18/2026 9:37:52,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I understand AI tools well and have experimented with them,Daily,"Improves quality / polish - makes my drafts and deliverables stronger, Idea generation / creative acceleration - helps me brainstorm and produce more options, More meaningful work - offloads repetitive tasks so I can focus on higher-value work",None. I only use officially endorsed AI tools for work.,No,"Lack of time / competing priorities, Limited access to AI tools",5,Extremely Confident,gaining access to certain tools,increased quality of image generation and ease of prompting,Manager,Creative Services
3/18/2026 9:39:34,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I understand AI tools well and have experimented with them,Daily,"Research and synthesis - helps me find, summarize, and connect information, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences, Enablement / accessibility - helps me do things I couldn't do as easily before (or without specialized expertise)",NotebookLM,No,"Lack of time / competing priorities, Lack of understanding or training, I am afraid AI will replace me",4,Confident,Moving from the Experimentation phase to the integration phase,opportunities for learning,Manager,Paid Media & Precision Marketing
3/18/2026 9:43:34,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I am highly knowledgeable and use AI regularly.,Daily,"Idea generation / creative acceleration - helps me brainstorm and produce more options, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Enablement / accessibility - helps me do things I couldn't do as easily before (or without specialized expertise)","Gemini (Google), NotebookLM, WISPR Flow",Yes,"None, I feel there are no barriers",5,Very Confident,Finding the time to really dive into and experiment with all the new tools and features that are constantly emerging.,"I’m most excited about how AI is becoming a partner in my role. With new tools and features constantly emerging, it’s helping me streamline workflows, automate tasks, and work more efficiently.",Specialist,Account Services
3/18/2026 9:48:55,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences",Gemini (Google),No,"Hard to break old habits, Concerns about privacy / PHI / compliance, Fear of making mistakes with AI",4,Very Confident,Familiarizing myself with different tools/programs,How it'll benefit our department at large ,Manager,Strategic Communications
3/18/2026 9:50:09,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Improves quality / polish - makes my drafts and deliverables stronger, Idea generation / creative acceleration - helps me brainstorm and produce more options, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences","Gemini (Google), NotebookLM, Otter.ai",No,"Hard to break old habits, I don’t see AI as relevant to my work",4,Confident,figuring out what tasks i can hand off ,helping me polish my work ,Specialist,Account Services
3/18/2026 9:51:27,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I am highly knowledgeable and use AI regularly.,Daily,"Idea generation / creative acceleration - helps me brainstorm and produce more options, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, More meaningful work - offloads repetitive tasks so I can focus on higher-value work",Otter.ai,No,"Lack of time / competing priorities, Concerns about accuracy or reliability",5,Very Confident,"One of my biggest challenges is carving out time to really experiment with AI, especially for developing and testing new projects, GPTs or workflows. That availability changes week to week. I also feel like there’s still a gap when it comes to presentation tools. It’s a very repetitive, time-consuming task, and I haven’t found a platform that truly improves the process.","I’m most excited about AI’s ability to streamline project/task development and help bring clarity to complex ideas more efficiently. It’s been especially valuable for refining messaging, generating strong first drafts and adapting content for different audiences without losing tone or intent. Overall, having AI as a tool has allowed me to be 10x more productive and saving time on repetitive or time-consuming tasks. 

I also see a lot of potential in building more customized tools and workflows, like GPTs tailored to specific needs, which could save time and create more consistency across our work.",Manager,Account Services
3/18/2026 9:51:48,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Improves quality / polish - makes my drafts and deliverables stronger, Idea generation / creative acceleration - helps me brainstorm and produce more options, More meaningful work - offloads repetitive tasks so I can focus on higher-value work",None. I only use officially endorsed AI tools for work.,No,"Concerns about accuracy or reliability, Fear of making mistakes with AI, I am afraid AI will replace me",4,Extremely Confident,Ai tool is not 100% accurate ,Additional tool to create faster results,Designer,Creative Services
3/18/2026 10:06:51,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Research and synthesis - helps me find, summarize, and connect information","Gemini (Google), Otter.ai, Jasper",No,"None, I feel there are no barriers",4,Confident,deciding which tool/version is most appropriate for the task,enhancing quality of my work and reducing time spent on less important tasks,Specialist,Content Marketing
3/18/2026 10:08:36,I have both positive and negative feelings about AI,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.","Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Improves quality / polish - makes my drafts and deliverables stronger, Research and synthesis - helps me find, summarize, and connect information, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences","Gemini (Google), Claude (Anthropic), Grok (xAI)",No,"Lack of time / competing priorities, Concerns about privacy / PHI / compliance",3,Confident,None,New abilities each day,Specialist,Creative Services
3/18/2026 10:13:52,I have both positive and negative feelings about AI,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.","Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I am highly knowledgeable and use AI regularly.,Daily,"Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences, More meaningful work - offloads repetitive tasks so I can focus on higher-value work","Gemini (Google), Claude (Anthropic), NotebookLM, WISPR Flow, Grammarly",Yes,"Lack of time / competing priorities, Concerns about accuracy or reliability, Unclear guidelines on what's allowed (policy/guardrails)",5,Extremely Confident,"The biggest challenge right now is scaling it in a way that’s structured and sustainable across teams. There’s a lot of great individual adoption, but not enough consistency yet in workflows, guardrails, or how we’re validating outputs. Without that, it can create rework instead of efficiency.","I’m most excited about how AI can completely change how we work, automating a lot of the repetitive tasks, helping us move faster, and improving the quality of what we’re producing. I’m especially interested in building workflows and tools that make it easier for teams to focus on more strategic, high-value work.",Manager,Web & Technology
3/18/2026 10:17:51,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences, Enablement / accessibility - helps me do things I couldn't do as easily before (or without specialized expertise), More meaningful work - offloads repetitive tasks so I can focus on higher-value work","Gemini (Google), Claude (Anthropic), NotebookLM",Yes,Lack of time / competing priorities,4,Extremely Confident,Not enough time in my day to continue to streamline my processes,"I can barely keep up with the changes now, but excited for the future.",Specialist,Marketing Operations
3/18/2026 10:21:22,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I am highly knowledgeable and use AI regularly.,Daily,"Idea generation / creative acceleration - helps me brainstorm and produce more options, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Collaboration - helps me work better with colleagues (align faster, share drafts, co-create)",Claude (Anthropic),No,Limited access to AI tools,4,Extremely Confident,Time to train,Collaboration/Partnership in decision making,Specialist,Digital Strategy
3/18/2026 10:33:52,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I understand AI tools well and have experimented with them,Daily,"Research and synthesis - helps me find, summarize, and connect information, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, Collaboration - helps me work better with colleagues (align faster, share drafts, co-create)","Gemini (Google), Perplexity AI, NotebookLM, Gamma, WISPR Flow",Yes,"None, I feel there are no barriers",5,Confident,"Would love to integrate more AI tools but not always familiar with what to use/try.  Dan and team provide regular updates in Slack. Often it feels a bit overwhelming and there is too much information posted, hard to keep up with the constant flow. ","Getting smarter, working more efficiently and more collaboratively. Producing work better than we’ve ever been able to produce. Getting to the next level as a marketer and growing with the team. ",Director,Account Services
3/18/2026 10:34:40,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences",Claude (Anthropic),No,Too many tools/not sure which to use,4,Confident,Finding the best tool for my type of day to day work.,Offloading monthly repetitive reporting and making work more efficient.,Specialist,Social Media & Reputation Management
3/18/2026 10:34:44,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.","Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I understand AI tools well and have experimented with them,Daily,"Improves quality / polish - makes my drafts and deliverables stronger, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences",None. I only use officially endorsed AI tools for work.,No,"Lack of time / competing priorities, Lack of understanding or training, Too many tools/not sure which to use",3,Somewhat confident,Time,Continuing to utilize ,Manager,n/a
3/18/2026 10:39:24,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I am highly knowledgeable and use AI regularly.,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Strategic thought partner - helps me think through strategy, pressure-test ideas, and refine recommendations, More meaningful work - offloads repetitive tasks so I can focus on higher-value work","Claude (Anthropic), NotebookLM",Yes,"None, I feel there are no barriers",3,Very Confident,none,General possibilities and evolution,AVP,comms
3/18/2026 10:42:09,Positive,"Transformation – I’m reimagining how I work, with AI as a core enabler, thought partner, and collaborator.",Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I understand AI tools well and have experimented with them,Daily,"Improves quality / polish - makes my drafts and deliverables stronger, Idea generation / creative acceleration - helps me brainstorm and produce more options, Communication clarity - helps me turn messy thoughts into clear language and adapt tone for different audiences","Gamma, Otter.ai, WISPR Flow, Nano Banana, and anything else that makes my PPTs shine.",Yes,"None, I feel there are no barriers",5,Extremely Confident,"It's getting hard to keep up with the automation part of it for me, perhaps because I am still not seeing how it can help our workflow and we are getting slammed with more work now that things are moving ""faster"" with AI. ","I love that it has helped me elevate my work, my thought process, and has given me a deeper understanding of how to be better at my work. It has also helped me understand our healthcare landscape better, which makes me better at my job. I also understand how to relate better to my colleagues, and increase my emotional intelligence. Basically, whatever you need, or don't know about, you can just ask. ",Director,Account Services
3/18/2026 10:51:23,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Confidence / reduced anxiety - helps me get unstuck and feel more confident about what I'm producing",Claude (Anthropic),No,"Lack of time / competing priorities, Lack of understanding or training, Hard to break old habits",5,Confident,Learning all the ways that it can actually help in my daily workflow. I basically use it just for writing right now.,"How it has improved my creative writing. In a fast-paced job, it is sometimes hard to stop and write creatively so it has helped me tremendously without having to reach out to colleagues to help review/edit my writing.",Specialist,Hospital Marketing
3/18/2026 10:55:27,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I am highly knowledgeable and use AI regularly.,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Idea generation / creative acceleration - helps me brainstorm and produce more options",None. I only use officially endorsed AI tools for work.,No,"Lack of time / competing priorities, Too many tools/not sure which to use, Concerns about accuracy or reliability",3,Very Confident,"One of the biggest challenges I’m feeling right now is the shift in how our department approaches AI. It’s starting to feel more like a “sport mode” environment, where there’s a lot of emphasis on calling out AI use in meetings or creating custom GPTs. At times, it comes across as more performative than practical.

With that said, evaluating our performance in AI feels very subjective, and I don’t think we fully hit the mark by adding it to evaluations on a 1–5 scale. I use AI every day and it genuinely helps me work more efficiently and effectively in my role, but it often feels like that’s not enough. I don’t have as many complex or highly visible use cases as others, and there’s a sense that those with more intricate applications are seen as “better” at AI. That can be frustrating, because it doesn’t always reflect the real impact of how AI is being used.

Because I’m not a “teacher” of AI or one of those leading these efforts, I’m evaluated as a “satisfactory” user, which doesn’t fully reflect the value I bring. Do we all need to be teachers or visionaries in AI to be considered strong performers, especially in roles where AI is just one part of the work?

I really appreciated the pace we followed in the past. It felt intentional, steady and effective, while already miles ahead of the rest of the organization. We were making real progress without it feeling forced. 

I do see the value of AI and have embraced it in my day-to-day work. At the same time, there’s only so much my role requires me to rely on it. I’d really like to see an approach that recognizes effective AI use can look different depending on the role, rather than expecting the same level or type of use from everyone.",Efficiency ,Manager,Internal Communications
3/18/2026 11:30:56,I have both positive and negative feelings about AI,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,"Steady - We're making methodical, linear progress on specific projects.",I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, More meaningful work - offloads repetitive tasks so I can focus on higher-value work",None. I only use officially endorsed AI tools for work.,No,"None, I feel there are no barriers",3,Confident,Concerning of how much is too much. ,Hopeful it can find ways to treat and cure diseases ,Manager,External Communications 
3/18/2026 11:31:54,Positive,Integration – I’m embedding AI into my workflows and processes to optimize tasks and projects.,Accelerating - Adoption is speeding up; we're rapidly expanding to new use cases and workflows.,I understand AI tools well and have experimented with them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Improves quality / polish - makes my drafts and deliverables stronger, Speed to decision - helps me move faster from questions to decisions","Claude (Anthropic), Grok (xAI), Perplexity AI, OpusClip, Sprout Social, AnswerThePublic",Yes,"None, I feel there are no barriers",4,Extremely Confident,Personal cost for different platforms ,How quickly they move our work ,Specialist,Social Media & Reputation Management
3/18/2026 11:33:47,Positive,"Experimentation – I’m actively trying out AI tools to improve efficiency, creativity, or decision-making.","Inconsistent / Siloed - We have pockets of adoption by individuals or small teams, but no cohesive department-wide progress.",I know a bit about them but haven’t used them,Daily,"Saves time / reduces busywork - helps me complete routine tasks faster, Idea generation / creative acceleration - helps me brainstorm and produce more options, Speed to decision - helps me move faster from questions to decisions",Gemini (Google),No,"Lack of time / competing priorities, Too many tools/not sure which to use",5,Somewhat confident,Lack of time to do play with it and create the tools we need,"All the time I’m saving, feel more confident with all the research we do and faster way to know best practices ",Manager,Signage wayfinding
